# FractureId; NumTraces
0; 113
# TraceId; Tips; Length
67; 0; 1.11292
50; 0; 0.80635
29; 0; 0.764532
2; 0; 0.752255
18; 0; 0.740402
90; 0; 0.736545
12; 0; 0.734931
14; 0; 0.547752
4; 0; 0.467026
61; 0; 0.444911
22; 0; 0.440539
63; 0; 0.434152
94; 0; 0.382108
43; 0; 0.346969
95; 0; 0.276378
9; 0; 0.273968
93; 0; 0.235051
44; 0; 0.218953
80; 0; 0.176231
3; 0; 0.0957862
52; 0; 1.48087e-05
16; 1; 1.17377
53; 1; 1.11598
30; 1; 1.08937
81; 1; 1.0699
51; 1; 1.0664
56; 1; 0.867721
5; 1; 0.792986
78; 1; 0.785166
19; 1; 0.753713
39; 1; 0.750733
88; 1; 0.746711
100; 1; 0.728472
62; 1; 0.728377
48; 1; 0.726259
15; 1; 0.714856
99; 1; 0.700855
98; 1; 0.693159
54; 1; 0.666074
36; 1; 0.660595
0; 1; 0.655836
96; 1; 0.63949
28; 1; 0.62887
70; 1; 0.621116
105; 1; 0.618896
31; 1; 0.618502
85; 1; 0.614816
6; 1; 0.612657
87; 1; 0.606543
71; 1; 0.586542
21; 1; 0.586376
34; 1; 0.584096
101; 1; 0.582407
74; 1; 0.580015
110; 1; 0.548033
46; 1; 0.547483
40; 1; 0.52751
58; 1; 0.525345
64; 1; 0.521157
68; 1; 0.52115
66; 1; 0.520121
45; 1; 0.514525
108; 1; 0.497363
37; 1; 0.487954
7; 1; 0.470317
59; 1; 0.444586
23; 1; 0.440255
102; 1; 0.436302
111; 1; 0.431646
13; 1; 0.431353
38; 1; 0.431074
76; 1; 0.418006
83; 1; 0.415096
8; 1; 0.411484
25; 1; 0.402036
82; 1; 0.384929
106; 1; 0.383387
11; 1; 0.376646
97; 1; 0.374886
27; 1; 0.369863
42; 1; 0.361165
33; 1; 0.350538
103; 1; 0.347107
86; 1; 0.342945
104; 1; 0.340451
75; 1; 0.321144
79; 1; 0.311714
84; 1; 0.294793
69; 1; 0.275628
32; 1; 0.264628
47; 1; 0.260425
55; 1; 0.258237
109; 1; 0.257634
26; 1; 0.250216
91; 1; 0.249825
41; 1; 0.241796
65; 1; 0.235272
49; 1; 0.206964
10; 1; 0.1935
24; 1; 0.182816
77; 1; 0.180286
1; 1; 0.179235
112; 1; 0.166604
57; 1; 0.158791
72; 1; 0.134216
35; 1; 0.133451
17; 1; 0.113276
20; 1; 0.0995964
92; 1; 0.0779145
60; 1; 0.0653783
107; 1; 0.0216661
73; 1; 0.0164331
89; 1; 0.0109382

# FractureId; NumTraces
1; 93
# TraceId; Tips; Length
163; 0; 0.722961
182; 0; 0.690624
134; 0; 0.216562
197; 0; 0.123339
125; 1; 1.41915
158; 1; 1.31313
176; 1; 1.28051
178; 1; 1.21962
150; 1; 1.1817
180; 1; 1.16994
117; 1; 1.08346
145; 1; 1.05211
136; 1; 1.03281
149; 1; 1.02723
157; 1; 1.02385
138; 1; 1.01491
170; 1; 1.00236
115; 1; 0.989675
151; 1; 0.954697
128; 1; 0.905951
127; 1; 0.904768
196; 1; 0.895443
185; 1; 0.86844
126; 1; 0.817862
159; 1; 0.817709
116; 1; 0.79236
181; 1; 0.789516
200; 1; 0.78818
183; 1; 0.769152
147; 1; 0.751308
171; 1; 0.737879
203; 1; 0.728873
139; 1; 0.722105
124; 1; 0.715613
113; 1; 0.708342
132; 1; 0.707097
177; 1; 0.678032
204; 1; 0.675389
0; 1; 0.655836
201; 1; 0.648395
160; 1; 0.642013
146; 1; 0.641184
121; 1; 0.633297
143; 1; 0.628838
190; 1; 0.627854
192; 1; 0.624807
122; 1; 0.618971
168; 1; 0.611211
187; 1; 0.601838
186; 1; 0.595533
162; 1; 0.590833
175; 1; 0.57323
120; 1; 0.57291
188; 1; 0.570147
144; 1; 0.543683
167; 1; 0.518615
153; 1; 0.495193
172; 1; 0.487109
130; 1; 0.483366
195; 1; 0.452816
156; 1; 0.435403
142; 1; 0.420165
154; 1; 0.418337
123; 1; 0.411596
119; 1; 0.402221
184; 1; 0.393733
131; 1; 0.383047
179; 1; 0.372571
164; 1; 0.322586
166; 1; 0.301779
137; 1; 0.295534
202; 1; 0.285772
135; 1; 0.279788
173; 1; 0.279317
141; 1; 0.272219
174; 1; 0.267618
148; 1; 0.263335
118; 1; 0.249265
161; 1; 0.248663
152; 1; 0.232281
198; 1; 0.226609
169; 1; 0.225018
194; 1; 0.179348
193; 1; 0.175986
129; 1; 0.16545
114; 1; 0.135594
140; 1; 0.121964
155; 1; 0.110295
165; 1; 0.0764351
133; 1; 0.0491048
191; 1; 0.0413179
189; 1; 0.0271387
199; 1; 0.00915911

# FractureId; NumTraces
2; 128
# TraceId; Tips; Length
298; 0; 1.33903
275; 0; 0.942204
309; 0; 0.698117
255; 0; 0.629977
233; 0; 0.487196
210; 0; 0.465076
293; 0; 0.441216
291; 0; 0.322812
252; 0; 0.279725
325; 0; 0.176272
244; 0; 0.102462
219; 0; 0.0953276
301; 0; 0.0948633
226; 0; 0.0379134
324; 1; 1.24137
271; 1; 1.20928
234; 1; 1.19352
238; 1; 1.1408
281; 1; 1.09667
295; 1; 1.06642
302; 1; 0.910439
289; 1; 0.895451
223; 1; 0.887335
221; 1; 0.870947
305; 1; 0.866075
267; 1; 0.852197
269; 1; 0.849125
276; 1; 0.817664
308; 1; 0.816004
214; 1; 0.782608
329; 1; 0.777765
312; 1; 0.77654
287; 1; 0.776157
300; 1; 0.763497
282; 1; 0.757107
263; 1; 0.737397
273; 1; 0.70666
296; 1; 0.701568
248; 1; 0.699669
277; 1; 0.691213
207; 1; 0.685833
249; 1; 0.673661
297; 1; 0.66845
208; 1; 0.667245
230; 1; 0.665755
241; 1; 0.654722
315; 1; 0.652315
319; 1; 0.650328
260; 1; 0.646414
220; 1; 0.634642
258; 1; 0.633855
239; 1; 0.603895
303; 1; 0.593952
235; 1; 0.586225
227; 1; 0.56922
236; 1; 0.561381
272; 1; 0.558129
307; 1; 0.534986
229; 1; 0.519012
323; 1; 0.518852
261; 1; 0.515515
228; 1; 0.49614
266; 1; 0.485531
232; 1; 0.481693
306; 1; 0.479654
257; 1; 0.478277
310; 1; 0.478163
264; 1; 0.471113
242; 1; 0.468864
246; 1; 0.460876
265; 1; 0.457502
320; 1; 0.450402
278; 1; 0.44985
322; 1; 0.448131
268; 1; 0.440409
245; 1; 0.429684
294; 1; 0.405702
286; 1; 0.4005
328; 1; 0.397708
231; 1; 0.396744
256; 1; 0.396708
224; 1; 0.382512
331; 1; 0.374083
326; 1; 0.366816
243; 1; 0.363048
292; 1; 0.359308
237; 1; 0.348974
285; 1; 0.330546
218; 1; 0.319311
314; 1; 0.315503
205; 1; 0.310241
321; 1; 0.309629
254; 1; 0.303949
217; 1; 0.285739
213; 1; 0.278253
327; 1; 0.276034
222; 1; 0.27498
290; 1; 0.265666
311; 1; 0.263376
318; 1; 0.260484
279; 1; 0.259029
250; 1; 0.253136
330; 1; 0.248845
284; 1; 0.24177
206; 1; 0.2361
280; 1; 0.235953
313; 1; 0.22322
274; 1; 0.21022
215; 1; 0.208019
283; 1; 0.198391
288; 1; 0.195659
262; 1; 0.185777
299; 1; 0.184473
1; 1; 0.179235
317; 1; 0.177701
253; 1; 0.145206
316; 1; 0.135944
247; 1; 0.12726
304; 1; 0.110804
209; 1; 0.0995075
251; 1; 0.0836605
259; 1; 0.0820411
212; 1; 0.068186
240; 1; 0.0665763
225; 1; 0.058848
216; 1; 0.0227937
270; 1; 0.0164731
211; 1; 0.0143729

# FractureId; NumTraces
3; 146
# TraceId; Tips; Length
391; 0; 0.855892
404; 0; 0.582804
431; 0; 0.515703
451; 0; 0.330535
433; 0; 0.296058
375; 0; 0.294689
440; 0; 0.256747
446; 0; 0.230423
340; 0; 0.0759211
461; 0; 0.0355294
456; 1; 1.2103
463; 1; 1.16219
378; 1; 1.10934
345; 1; 1.10925
395; 1; 1.09123
349; 1; 1.06253
347; 1; 1.04817
353; 1; 1.04317
390; 1; 1.02792
403; 1; 1.00665
357; 1; 0.993425
344; 1; 0.989952
382; 1; 0.972636
398; 1; 0.957426
385; 1; 0.951167
453; 1; 0.933147
445; 1; 0.909962
335; 1; 0.906965
359; 1; 0.896745
429; 1; 0.891249
368; 1; 0.890398
426; 1; 0.884772
465; 1; 0.870676
367; 1; 0.870024
351; 1; 0.860576
460; 1; 0.857414
462; 1; 0.840626
441; 1; 0.839172
439; 1; 0.838541
393; 1; 0.837872
397; 1; 0.836895
355; 1; 0.832155
450; 1; 0.822611
435; 1; 0.820771
405; 1; 0.810702
388; 1; 0.808446
336; 1; 0.804385
361; 1; 0.804348
387; 1; 0.803382
358; 1; 0.783145
458; 1; 0.779842
410; 1; 0.779694
472; 1; 0.779426
377; 1; 0.767275
362; 1; 0.756622
2; 1; 0.752255
332; 1; 0.74994
467; 1; 0.733588
414; 1; 0.73205
374; 1; 0.72636
343; 1; 0.715247
113; 1; 0.708342
421; 1; 0.704452
438; 1; 0.703114
412; 1; 0.7024
418; 1; 0.684391
379; 1; 0.677116
372; 1; 0.67529
449; 1; 0.67293
384; 1; 0.671912
383; 1; 0.666934
364; 1; 0.665026
401; 1; 0.660699
369; 1; 0.659076
443; 1; 0.657713
406; 1; 0.654644
360; 1; 0.654349
442; 1; 0.651859
339; 1; 0.650593
424; 1; 0.636152
341; 1; 0.627902
408; 1; 0.611171
422; 1; 0.605938
365; 1; 0.602953
434; 1; 0.598812
337; 1; 0.596256
363; 1; 0.594686
464; 1; 0.589739
471; 1; 0.580979
473; 1; 0.569428
470; 1; 0.567342
399; 1; 0.563381
469; 1; 0.56168
342; 1; 0.560025
427; 1; 0.559194
373; 1; 0.552693
409; 1; 0.546003
444; 1; 0.545473
334; 1; 0.543211
416; 1; 0.541788
457; 1; 0.534536
468; 1; 0.532507
386; 1; 0.515651
474; 1; 0.512897
348; 1; 0.508833
428; 1; 0.507066
370; 1; 0.495908
400; 1; 0.495667
419; 1; 0.490973
425; 1; 0.4826
333; 1; 0.475399
392; 1; 0.464925
423; 1; 0.459426
448; 1; 0.454573
389; 1; 0.448456
417; 1; 0.444829
350; 1; 0.436416
452; 1; 0.434265
354; 1; 0.424934
346; 1; 0.423893
437; 1; 0.423365
352; 1; 0.412762
396; 1; 0.3974
381; 1; 0.378951
413; 1; 0.363958
380; 1; 0.339166
371; 1; 0.329198
338; 1; 0.326748
455; 1; 0.324565
432; 1; 0.311724
205; 1; 0.310241
447; 1; 0.294418
