# Number of traces
22
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 2.3880707383785379e-01; 8.9069705098316865e-01; 3.0316445711141887e-01; 2.4797594176399801e-01; 6.8965726581293596e-01; 5.9704177318758545e-01
1; 0; 3; 5.8999373703027469e-01; 4.4144071538923324e-01; 4.4396472304581652e-01; 4.0708278513028828e-01; 7.9290720137679016e-01; 1.9054542365205801e-01
2; 0; 5; 4.2509941631366932e-01; 5.1061528912628207e-01; 5.9517393895398185e-01; 4.2720007341802840e-01; 5.0725896124094927e-01; 5.9704177318758545e-01
3; 0; 6; 4.2436810703245781e-01; 5.4440696714881831e-01; 5.4451429376263860e-01; 1.6036270461720403e-01; 9.4551882387821684e-01; 3.4150614581109751e-01
4; 0; 7; 3.2951089390531940e-01; 6.0667827801321639e-01; 5.9704177318758545e-01; 4.4995360538545237e-01; 7.0894723121709735e-01; 2.5236863514713970e-01
5; 0; 8; 4.2284129691097044e-01; 7.7686959636876241e-01; 1.9054542365205809e-01; 5.5413802687121005e-01; 3.9249192399563870e-01; 5.7493823442780512e-01
6; 1; 3; 9.3219301223687989e-01; 4.3397286100839816e-01; 3.9361989787461210e-01; 1.0881373072504232e+00; 4.4643030077661344e-01; 3.5788140881654368e-01
7; 2; 3; 1.9507930182150363e-01; 5.2207571114633333e-01; 4.4396472304581647e-01; 2.0417828776973185e-01; 6.9474304159586153e-01; 3.0316445711141882e-01
8; 2; 6; 1.6201266918903159e-01; 3.4403894091689419e-01; 4.3341741262078565e-01; 3.1586681094161595e-01; 1.2629596008899402e+00; 3.7728990053789518e-01
9; 2; 7; 2.8390199813548178e-01; 6.0447332336244630e-01; 9.3223134394306251e-01; 1.4992041146307877e-01; 3.2337674015595691e-01; 3.7791908301603616e-01
10; 2; 9; 2.4842593893069370e-01; 6.1136117376789700e-01; 6.9097435508069727e-01; 1.7967345488367059e-01; 3.1811881367255035e-01; 5.7965360009830991e-01
11; 3; 6; 2.2958430450109249e-01; 5.1503036031433236e-01; 4.4396472304581658e-01; 1.0670416926497706e-01; 6.4697132079332265e-01; 3.5776151899437580e-01
12; 3; 7; 2.7533021843380112e-01; 5.0568980132990660e-01; 4.4396472304581647e-01; 4.4904254769630669e-01; 7.0770840838475180e-01; 2.5236863514713964e-01
13; 3; 8; 3.7256732320525116e-01; 9.4350949248998561e-01; 7.4730885127456181e-02; 5.2384452670666148e-01; 4.5494729002472428e-01; 4.4396472304581647e-01
14; 4; 7; 3.3813027232799087e-01; 5.6577742342629345e-01; 3.0215171453688028e-01; 4.0063103571889269e-01; 6.4188020990674777e-01; 2.5236863514713964e-01
15; 4; 8; 3.8093142506468203e-01; 1.0120548524122017e+00; 2.4918867219314281e-01; 5.0882296823656492e-01; 3.6599889383799433e-01; 1.8570703560270058e-01
16; 5; 8; 5.7190591954962655e-01; 3.7929721690958751e-01; 6.8953864347993199e-01; 5.1998413976991997e-01; 5.7290959023900045e-01; 6.0460398841141128e-01
17; 5; 9; 4.5619117408804355e-01; 1.4373635584436967e-01; 7.3395089425692905e-01; 2.0617557729799921e-01; 3.0478333775862354e-01; 5.9517393895398185e-01
18; 6; 7; 1.5875417021688840e-01; 3.4495374052188976e-01; 4.3152253375196076e-01; 4.5218760555362802e-01; 7.6094491811947051e-01; 5.2674129211444054e-01
19; 6; 8; 3.2768093767931272e-01; 1.3407694410618523e+00; 3.7188316486703976e-01; 4.7792178843098765e-01; 7.3516417215703656e-01; 5.4451429376263860e-01
20; 7; 8; 4.4629359067258184e-01; 7.0397047744283681e-01; 2.5236863514713975e-01; 4.5973894174920948e-01; 7.5539149859516130e-01; 4.3807758037819455e-01
21; 7; 9; 6.4940013283212694e-02; 2.2603760697649461e-01; 4.7999122984809550e-01; 3.1168966001783827e-01; 6.0687613965712439e-01; 7.3395089425692905e-01
