# Number of traces
481
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 6.0654762549414654e-02; 1.0345903503281988e+00; 2.2650869811942534e-01; 5.4654852181428448e-01; 6.9052767800517734e-01; -9.0930588885243510e-02
1; 0; 6; 3.6781326790671798e-01; 6.8171494252089015e-01; -1.9404528350684180e-02; 5.2367529081676167e-01; 1.0735186819128368e+00; 4.6597960550042589e-02
2; 0; 8; 2.8248513440244261e-01; 5.2491838870804430e-01; -3.6254440306971947e-02; 4.1782091083768896e-01; 5.3004240780159473e-01; -9.0930588885243510e-02
3; 0; 11; 1.6097959353991503e-01; 2.3056856008856846e-01; -8.4002032784752961e-02; 7.1815569848489899e-02; 5.8224085486615862e-01; 7.0680125497282753e-02
4; 0; 22; -2.0916890436406688e-01; 3.6573223147044065e-01; 1.1539565664922148e-01; -1.1231544745610722e-01; 7.6534186588019049e-01; 2.0859327620463797e-01
5; 0; 38; 3.6821996623174508e-02; 1.7031812661146997e-01; -5.2406984008583325e-02; 1.5149291593877609e-01; 6.2582168352711698e-01; 5.2046997701574463e-02
6; 0; 39; 3.2995350022406889e-01; 4.5531427352811699e-01; -7.9294657144429653e-02; 2.0351122525888579e-01; 1.0030330066471431e+00; 1.5643983507302270e-01
7; 1; 3; 4.5279596528032040e-01; 3.3617419485943989e-01; 6.7759570734018326e-01; -9.6835390357918882e-04; 8.3153831646382070e-01; 8.4919171765252865e-01
8; 1; 4; 4.5566810363402244e-01; 3.8173449625880324e-01; 6.9501869969472851e-01; 3.8631052466342042e-01; 6.1379397738286601e-01; 7.8067274338015491e-01
9; 1; 5; 2.2475099375301233e-01; 1.1681157113780472e+00; 9.8542638993839826e-01; 6.2282847980780554e-01; 3.7003769166801503e-01; 6.9672134289185728e-01
10; 1; 7; -3.8296863823644189e-01; 6.5265985121711123e-01; 7.6714958980140202e-01; -1.4754722965866438e-01; 3.9427008050338946e-01; 6.7759570734018326e-01
11; 1; 9; 2.4737078092931322e-01; 3.5605342080728519e-01; 6.7759570734018304e-01; 3.8178907118053840e-01; 6.6944388434470647e-01; 8.0165881330821986e-01
12; 1; 10; 5.0961083307961719e-01; 7.0973632576159151e-01; 8.2167545877766002e-01; 5.8365501952545940e-01; 3.2351081711985596e-01; 6.7759570734018326e-01
13; 1; 11; -7.3415462871097417e-02; 3.9733272557026400e-01; 6.8148655805889713e-01; -7.0958593573146198e-02; 3.8685851211857170e-01; 6.7759570734018326e-01
14; 1; 14; 8.3212151409630153e-01; 3.8387255475346471e-01; 7.0967824647672995e-01; 6.9745247592223736e-01; 3.1249850937799584e-01; 6.7759570734018304e-01
15; 1; 17; 3.8808960525450215e-01; 9.2832248409340079e-01; 9.0028962219507547e-01; 8.6970752876353474e-01; 7.7227369332359641e-01; 8.5869098062460802e-01
16; 1; 18; 3.7726019182148801e-01; 4.5490379412566878e-01; 7.1994611849282841e-01; 8.2906501404763255e-01; 3.5228771902525091e-01; 6.9756050978110773e-01
17; 1; 19; 6.4053352900710459e-01; 1.1278799681823106e+00; 9.8542638993839826e-01; 8.7632886245431740e-01; 8.4069631187258409e-01; 8.8494178283666414e-01
18; 1; 21; 7.5849221411552536e-01; 4.0957655255191744e-01; 7.1674000133760329e-01; 8.2501555948069161e-01; 3.1044202779374630e-01; 6.8150612619801598e-01
19; 1; 25; -2.7729411385841424e-01; 7.8273481981414861e-01; 8.2047770297365186e-01; -3.6786817254726323e-02; 9.5217799737435005e-01; 8.9372904543905873e-01
20; 1; 26; -6.2718862134325981e-02; 6.8592664831997174e-01; 7.9157377941339768e-01; 5.5938689219126114e-01; 6.6480779006532309e-01; 8.0642912824446278e-01
21; 1; 27; 8.0147900848813958e-01; 3.3102859003747914e-01; 6.8846529129663991e-01; 8.2499036364008371e-01; 3.1018166251517176e-01; 6.8140623529094935e-01
22; 1; 28; 8.2218691665155352e-01; 4.3329187709551331e-01; 7.2809697927517969e-01; 5.6957841550485533e-01; 3.2487302591031175e-01; 6.7759570734018326e-01
23; 1; 29; 8.2896926429644568e-01; 3.5129827354378718e-01; 6.9718090230357566e-01; 6.9578898358420072e-01; 3.1265948740099164e-01; 6.7759570734018315e-01
24; 1; 30; 8.8334043657939731e-01; 9.1315154282645783e-01; 9.1273972418024529e-01; 7.4317919471502980e-01; 7.5882469990202972e-01; 8.4892503301492583e-01
25; 1; 34; 1.9772505182585109e-01; 1.1707310421502730e+00; 9.8542638993839815e-01; -1.4797090185180942e-01; 3.9431107973764573e-01; 6.7759570734018315e-01
26; 1; 35; 7.9281883252977525e-01; 6.6058617176359413e-01; 8.1341069975408498e-01; -3.5206503003725714e-02; 3.8339874213572994e-01; 6.7759570734018315e-01
27; 1; 36; 6.5981327273671031e-01; 3.1614089736944823e-01; 6.7759570734018326e-01; 7.7108422904993279e-01; 4.0159554998409447e-01; 7.1416960880056690e-01
28; 1; 40; 7.1794693722448444e-01; 1.1203885856714082e+00; 9.8542638993839837e-01; 8.4759839871950249e-01; 5.4380543570373752e-01; 7.7103758223532992e-01
29; 1; 42; 8.6684385759643268e-01; 9.6988203256510208e-01; 9.3369604633362668e-01; 2.0813666298046507e-01; 3.5985015049275976e-01; 6.7759570734018326e-01
30; 1; 43; 8.6738234289919480e-01; 7.4824601055136142e-01; 8.4947259697540034e-01; 6.7003460018143057e-02; 7.0757113793562909e-01; 8.0457229578388467e-01
31; 1; 44; 7.9465504659190489e-01; 8.3721762985273829e-01; 8.8061538259264294e-01; 3.8369156713745145e-01; 3.4286150512771080e-01; 6.7759570734018315e-01
32; 1; 45; 1.0061783356846238e-01; 1.1801282167907834e+00; 9.8542638993839837e-01; 3.6013511649330682e-01; 3.4754451505014566e-01; 6.7850924299571480e-01
33; 1; 46; 7.4354386912080228e-01; 4.3603949445264584e-01; 7.2624865775325165e-01; 7.1068703866665373e-01; 3.1121778586812893e-01; 6.7759570734018326e-01
34; 1; 47; 8.4160536768583105e-01; 4.8187548389659984e-01; 7.4727773570552491e-01; 6.0941598883678405e-01; 3.2101789916924905e-01; 6.7759570734018326e-01
35; 1; 49; 2.0181360991184727e-02; 8.5657565059000285e-01; 8.5948627925244669e-01; -1.5414247797156527e-01; 5.9389730873264668e-01; 7.5323089079878880e-01
36; 2; 6; 7.6742058575228056e-01; 7.0093704895291487e-01; 1.8355588779262293e-02; 9.1175838116803562e-02; 8.6433129057765146e-01; -1.9404528350684173e-02
37; 2; 14; 7.6343113989132871e-01; 8.6160258091136410e-01; 2.6091155030355939e-01; 6.1396519400573735e-01; 8.4509236854807579e-01; 1.7256629937814263e-01
38; 2; 20; 3.8288654178433634e-01; 7.2782466517578570e-01; -1.0348505767099275e-01; 2.3647386637026035e-02; 1.0014082338993227e+00; 1.6040553214636338e-01
39; 2; 39; 3.8997121064151918e-01; 8.5981481705772012e-01; 1.0016453088686050e-01; -4.8894081468948525e-02; 1.0172996151398506e+00; 1.5386778298295006e-01
40; 2; 46; 7.5786323948337120e-01; 9.4618011957728321e-01; 3.8713045670184348e-01; 6.5519496031184099e-01; 7.6574584981653682e-01; 6.9389889643447888e-02
41; 3; 7; -7.9471294926021729e-02; 7.4924754696803531e-01; 4.1755437961536224e-01; 3.3484651294720280e-02; 6.2574926615842430e-01; 3.7432569487161765e-01
42; 3; 9; 2.6596990992874736e-01; 4.3550608300484200e-01; 4.6094089157458629e-01; 3.4486165943068464e-01; 5.5017472040306958e-01; 9.8251063138572503e-01
43; 3; 10; 4.6256239646967989e-01; 4.2515064878956565e-01; 9.4752197896478518e-01; 6.3246421982423984e-01; 1.2877995748639945e-01; 5.7874580128221575e-01
44; 3; 13; 5.7718272753536348e-01; 1.0707750898983144e-01; 3.7432569487161765e-01; 6.2840432616306063e-01; 1.2452417077193763e-01; 5.5642304916870744e-01
45; 3; 14; 6.6914124170319400e-01; 1.6722667443640626e-01; 7.8040922796118539e-01; 3.1224546843333878e-01; 3.5981975642985592e-01; 3.7432569487161760e-01
46; 3; 15; 2.4287369216759558e-01; 4.7196266805997000e-01; 5.0054964574939609e-01; 3.3994559166575977e-01; 3.3339466460299549e-01; 3.7432569487161760e-01
47; 3; 22; 2.6662727485152449e-01; 4.7699664032329953e-01; 5.7660146622860120e-01; 5.8278696160203182e-02; 6.0209648646382585e-01; 3.7432569487161765e-01
48; 3; 23; 6.3146240131252940e-01; 1.2772980044578386e-01; 5.7323744363396756e-01; 4.1231632867588974e-01; 2.6435513885706213e-01; 3.7432569487161749e-01
49; 3; 24; 4.1580194258415731e-01; 2.6102996709424692e-01; 3.7432569487161765e-01; 4.1672335544107553e-01; 3.3083705733965169e-01; 5.6843887957485673e-01
