# FractureId; NumTraces
0; 6
# TraceId; Tips; Length
109; 1; 0.0422492

# FractureId; NumTraces
14; 31
# TraceId; Tips; Length
35; 0; 0.174406
232; 1; 1.4946
242; 1; 1.33836
155; 1; 1.10597
235; 1; 1.03261
228; 1; 0.981312
239; 1; 0.936568
236; 1; 0.885456
226; 1; 0.882485
110; 1; 0.862765
224; 1; 0.847631
230; 1; 0.844132
179; 1; 0.82777
241; 1; 0.807284
243; 1; 0.759416
238; 1; 0.69426
237; 1; 0.656488
240; 1; 0.633866
225; 1; 0.61228
223; 1; 0.60486
227; 1; 0.597253
196; 1; 0.584953
231; 1; 0.584907
41; 1; 0.573908
69; 1; 0.527538
207; 1; 0.493866
137; 1; 0.482981
233; 1; 0.356981
234; 1; 0.302935
229; 1; 0.291636
13; 1; 0.155754

# FractureId; NumTraces
15; 21
# TraceId; Tips; Length
223; 0; 0.60486
251; 1; 0.941574
247; 1; 0.742073
244; 1; 0.69768
252; 1; 0.518764
197; 1; 0.498816
245; 1; 0.438164
255; 1; 0.392929
256; 1; 0.380934
246; 1; 0.370044
129; 1; 0.324611
249; 1; 0.313197
111; 1; 0.305954
254; 1; 0.219575
42; 1; 0.211084
104; 1; 0.152426
248; 1; 0.15119
250; 1; 0.128021
138; 1; 0.0867672
253; 1; 0.0416466
208; 1; 0.000342581

# FractureId; NumTraces
16; 19
# TraceId; Tips; Length
265; 0; 0.648696
156; 0; 0.374993
271; 0; 0.171522
257; 0; 0.13335
224; 1; 0.847631
266; 1; 0.750434
261; 1; 0.723743
269; 1; 0.63465
259; 1; 0.620357
258; 1; 0.55575
260; 1; 0.520305
263; 1; 0.50886
270; 1; 0.492848
209; 1; 0.48928
70; 1; 0.459774
268; 1; 0.393134
264; 1; 0.265881
262; 1; 0.245866
267; 1; 0.22092

# FractureId; NumTraces
17; 14
# TraceId; Tips; Length
276; 0; 0.578133
275; 0; 0.571413
88; 0; 0.180373
272; 1; 0.720963
71; 1; 0.522849
274; 1; 0.514495
14; 1; 0.507974
277; 1; 0.397287
278; 1; 0.310817
281; 1; 0.300271
257; 1; 0.13335
280; 1; 0.125234
273; 1; 0.122441
279; 1; 0.00153342

# FractureId; NumTraces
18; 22
# TraceId; Tips; Length
